flow_id,flow_ip_src,flow_ip_dst,flow_srcport,flow_dstport,flow_proto,num_packets,total_length,avg_packet_size,min_time,max_time,tcp_window_size_avg,total_payload,forward_packets,receiving_packets,fragments,flow_duration,target
3411229631,192.171.2.63,78.9.253.9,0,0,120,268,73700,275,15,35689,0,59228,268,0,0,1800951,0
4115295646,154.192.171.2,63.78.9.253,0,0,1,7,1848,264,40,116,0,1470,7,0,0,392,0
3411229631,192.171.2.63,78.9.253.9,0,0,120,268,73700,275,15,35689,0,59228,268,0,0,1800951,0
4115295646,154.192.171.2,63.78.9.253,0,0,1,7,1848,264,40,116,0,1470,7,0,0,392,0
3411229631,192.171.2.63,78.9.253.9,0,0,120,268,73700,275,15,35689,0,59228,268,0,0,1800951,0
4115295646,154.192.171.2,63.78.9.253,0,0,1,7,1848,264,40,116,0,1470,7,0,0,392,0
3411229631,192.171.2.63,78.9.253.9,0,0,120,268,73700,275,15,35689,0,59228,268,0,0,1800951,0
4115295646,154.192.171.2,63.78.9.253,0,0,1,7,1848,264,40,116,0,1470,7,0,0,392,0
3411229631,192.171.2.63,78.9.253.9,0,0,120,268,73700,275,15,35689,0,59228,268,0,0,1800951,0
4115295646,154.192.171.2,63.78.9.253,0,0,1,7,1848,264,40,116,0,1470,7,0,0,392,0
3411229631,192.171.2.63,78.9.253.9,0,0,120,268,73700,275,15,35689,0,59228,268,0,0,1800951,0
4115295646,154.192.171.2,63.78.9.253,0,0,1,7,1848,264,40,116,0,1470,7,0,0,392,0
2036161021,0.0.0.0,0.0.0.0,0,0,255,2,776,388,434,434,0,668,2,0,0,434,0
3411229631,192.171.2.63,78.9.253.9,0,0,120,268,73700,275,15,35689,0,59228,268,0,0,1800951,0
4115295646,154.192.171.2,63.78.9.253,0,0,1,7,1848,264,40,116,0,1470,7,0,0,392,0
2036161021,0.0.0.0,0.0.0.0,0,0,255,2,776,388,434,434,0,668,2,0,0,434,0
3411229631,192.171.2.63,78.9.253.9,0,0,120,268,73700,275,15,35689,0,59228,268,0,0,1800951,0
4115295646,154.192.171.2,63.78.9.253,0,0,1,7,1848,264,40,116,0,1470,7,0,0,392,0
2036161021,0.0.0.0,0.0.0.0,0,0,255,2,776,388,434,434,0,668,2,0,0,434,0
3411229631,192.171.2.63,78.9.253.9,0,0,120,268,73700,275,15,35689,0,59228,268,0,0,1800951,0
4115295646,154.192.171.2,63.78.9.253,0,0,1,7,1848,264,40,116,0,1470,7,0,0,392,0
2036161021,0.0.0.0,0.0.0.0,0,0,255,3,1164,388,434,30814,0,1002,3,0,0,31248,0
3411229631,192.171.2.63,78.9.253.9,0,0,120,268,73700,275,15,35689,0,59228,268,0,0,1800951,0
4115295646,154.192.171.2,63.78.9.253,0,0,1,7,1848,264,40,116,0,1470,7,0,0,392,0
2036161021,0.0.0.0,0.0.0.0,0,0,255,3,1164,388,434,30814,0,1002,3,0,0,31248,0
3411229631,192.171.2.63,78.9.253.9,0,0,120,268,73700,275,15,35689,0,59228,268,0,0,1800951,0
4115295646,154.192.171.2,63.78.9.253,0,0,1,7,1848,264,40,116,0,1470,7,0,0,392,0
2036161021,0.0.0.0,0.0.0.0,0,0,255,3,1164,388,434,30814,0,1002,3,0,0,31248,0
3411229631,192.171.2.63,78.9.253.9,0,0,120,268,73700,275,15,35689,0,59228,268,0,0,1800951,0
